"title","address_city","address_community","address_county","address_state","address_street","address_street_number","date_collected","issuer_type","heated_water","heating","water_access","building_material","roof_material","fence","floors","rooms","bathroom_count","has_basement","has_balcony","year_built","location_latitude","location_longitude","price","price_currency","price_per_meter"
"Dworek, Hałcnów",Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,śląskie,,,2022-01-12 09:17:16.312 +0100,REAL_ESTATE_AGENCY,,,,,,,,5,,true,true,,49.84616847,19.07646692,445000.0,PLN,1271.4285714285713
Dom,Zbydniów,Łapanów,bocheński,małopolskie,,,2022-01-12 09:14:20.918 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,8,,true,,1846,49.83648,20.33255,2600000.0,PLN,4333.333333333333
Dworek Bochnia,Bochnia,Bochnia m,bocheński,małopolskie,,,2022-01-13 04:20:55.167 +0100,REAL_ESTATE_AGENCY,,,,,,,,12,,,,1832,,,4000000.0,PLN,6677.79632721202
Dworek Bochnia,Bochnia,Bochnia m,bocheński,małopolskie,,,2022-01-11 13:58:20.887 +0100,REAL_ESTATE_AGENCY,,GAS_HEATING,WATER_SUPPLY,,,,,6,,,,1832,49.96922,20.42885,3995000.0,PLN,6658.333333333333
Dworek Osielsko,Osielsko,Osielsko,bydgoski,kujawsko-pomorskie,,,2022-01-10 07:29:03.397 +0100,REAL_ESTATE_AGENCY,,GAS_HEATING,WATER_SUPPLY,,,,,7,,true,,2008,53.1841113,18.0984908,4999999.0,PLN,10964.910087719298
Dworek Czarże,Czarże,Dąbrowa Chełmińska,bydgoski,kujawsko-pomorskie,,,2022-01-10 07:13:49.082 +0100,REAL_ESTATE_AGENCY,,,,,,,,,,,,2002,53.22145,18.28125,1890000.0,PLN,9219.512195121952
Dworek Brzoza,Brzoza,Nowa Wieś Wielka,bydgoski,kujawsko-pomorskie,,,2022-01-14 20:13:30.305 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,13,,true,,2000,53.0302901,18.0183091,1000000.0,PLN,1538.4615384615386
"Dworek, Prądy",Bydgoszcz,Bydgoszcz,Bydgoszcz,kujawsko-pomorskie,,,2022-01-13 04:08:56.737 +0100,REAL_ESTATE_AGENCY,,GAS_HEATING,WATER_SUPPLY,,,,,,,true,,,,,2200000.0,PLN,733.3333333333334
Luksusowy dom na sprzedaż,Łaszewo,Choszczno,choszczeński,zachodniopomorskie,,,2022-01-08 17:05:45.092 +0100,REAL_ESTATE_AGENCY,,,,OTHER,,OTHER,,10,,,,1850,53.15464581,15.5702877,4500000.0,PLN,7500.0
"Choszczeński (Pow.), Pełczyce (Gm.), Jarosławsko",Jarosławsko,Pełczyce,choszczeński,zachodniopomorskie,,,2022-01-11 18:46:28.749 +0100,REAL_ESTATE_AGENCY,,,,BLOCK,,,,3,3,true,true,1990,53.0056,15.4206,1900000.0,PLN,14615.384615384615
Dworek Żochy,Żochy,Ojrzeń,ciechanowski,mazowieckie,,,2022-01-10 07:25:45.004 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,8,,,,1900,52.76799,20.58585,4159000.0,PLN,6398.461538461538
"cieszyński, Brenna, Górki Wielkie",Górki Wielkie,Brenna,cieszyński,śląskie,,,2022-01-14 18:05:39.118 +0100,,OTHER_HEATING,GAS_HEATING,WATER_SUPPLY,BRICK,,OTHER,,6,,,,1734,49.7184,18.9437,1980000.0,PLN,4125.0
"cieszyński, Brenna, Górki Wielkie",Górki Wielkie,Brenna,cieszyński,śląskie,,,2022-01-14 19:09:30.066 +0100,PRIVATE,OTHER_HEATING,GAS_HEATING,WATER_SUPPLY,BRICK,,OTHER,,6,,,,1734,49.7823,18.8401,2880000.0,PLN,9600.0
"Dworek, ul. Koniecpolska",Radoszewnica,Koniecpol,częstochowski,śląskie,Koniecpolska,,2022-01-08 14:09:08.113 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,18,,true,,1568,50.8046808,19.6822893,6000000.0,PLN,6382.978723404255
Dworek Kłomnice,Kłomnice,Kłomnice,częstochowski,śląskie,,,2022-01-08 14:09:15.154 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,5,,,,1960,50.916459,19.3457,299000.0,PLN,1495.0
Dworek Kłomnice,Kłomnice,Kłomnice,częstochowski,śląskie,,,2022-01-10 00:34:54.614 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,5,,true,,1960,50.9218266,19.3568903,279000.0,PLN,1395.0
Dom na sprzedaż,Marzewo,Pasłęk,elbląski,warmińsko-mazurskie,,,2022-01-13 01:13:27.290 +0100,REAL_ESTATE_AGENCY,,,,BRICK,,,,12,,,,1853,,,8000000.0,PLN,8196.72131147541
Dom na sprzedaż,Gdynia,Gdynia,Gdynia,pomorskie,,,2022-01-08 17:05:27.897 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,OTHER,,,,8,,,,1995,54.5115647,18.5453609,7900000.0,PLN,22507.122507122505
Przepiękna nieruchomość na Mazurach/Kruklanki,Kruklanki,Kruklanki,giżycki,warmińsko-mazurskie,,,2022-01-13 09:08:37.049 +0100,REAL_ESTATE_AGENCY,,BOILER_ROOM,WATER_SUPPLY,BRICK,CERAMIC_TILE,,,7,,true,,1926,54.08805,21.92111,2500000.0,PLN,11627.906976744185
"Dworek, ul. Łąkowa",Milanówek,Milanówek,grodziski,mazowieckie,Łąkowa,,2022-01-13 04:12:02.186 +0100,REAL_ESTATE_AGENCY,,,,,,,,7,,,,2005,52.1077109,20.6786913,2200000.0,PLN,6094.182825484764
Dworek Żabia Wola,Żabia Wola,Żabia Wola,grodziski,mazowieckie,,,2022-01-10 07:29:57.885 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,15,,,,1860,52.0317113,20.6909341,4700000.0,PLN,3916.6666666666665
"Grójecki, Chynów, Marianów",Marianów,Chynów,grójecki,mazowieckie,,,2022-01-09 18:18:05.689 +0100,REAL_ESTATE_AGENCY,MUNICIPAL,ELECTRIC_HEATING,WATER_SUPPLY,BLOCK,CERAMIC_TILE,MIXED,,7,4,,,1999,51.9227319,21.00727616,1900000.0,PLN,5428.571428571428
Dworek Jasiel,Jasiel,Gryfice,gryficki,zachodniopomorskie,,,2022-01-11 13:43:47.363 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,8,,,,1910,53.83427,15.08817,800000.0,PLN,3200.0
Dworek Dołhobyczów,Dołhobyczów,Dołhobyczów,hrubieszowski,lubelskie,,,2022-01-08 14:03:48.749 +0100,REAL_ESTATE_AGENCY,,,,,,,,10,,,,,50.5863925,24.0351643,5500000.0,PLN,3133.1890167483193
"Dworek, Cieplice Śląskie-Zdrój",Jelenia Góra,Jelenia Góra,Jelenia Góra,dolnośląskie,,,2022-01-10 07:14:12.516 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,20,,true,,1820,50.86452569999999,15.665211099999965,1600000.0,PLN,1755.30981218185
"Dworek, ul. Ściegiennego",Jelenia Góra,Jelenia Góra,Jelenia Góra,dolnośląskie,Ściegiennego,,2022-01-13 04:19:08.800 +0100,REAL_ESTATE_AGENCY,,,,,,,,20,,,,1550,50.866426,15.6795647,2800000.0,PLN,3294.1176470588234
Dworek Różanka,Różanka,Międzylesie,kłodzki,dolnośląskie,,,2022-01-10 00:19:21.440 +0100,REAL_ESTATE_AGENCY,,,,,,,,2,,,,,50.18389,16.63283,600000.0,PLN,6976.7441860465115
Dworek,Czajowice,Wielka Wieś,krakowski,małopolskie,Kasztanowa,,2022-01-08 14:26:49.093 +0100,REAL_ESTATE_AGENCY,,GAS_HEATING,WATER_SUPPLY,,,,,7,,true,,2014,50.1968541,19.7984684,1750000.0,PLN,5195.961995249406
Dworek Gubin,Gubin,Gubin m,krośnieński,lubuskie,,,2022-01-10 07:36:33.637 +0100,REAL_ESTATE_AGENCY,,GAS_HEATING,,,,,,7,,true,true,1881,51.95090439,14.72708702,1450000.0,PLN,2071.4285714285716
Dworek Kochlice,Kochlice,Miłkowice,legnicki,dolnośląskie,,,2022-01-12 09:20:53.055 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,9,,true,,,51.2831023,16.155854800000043,699000.0,PLN,3328.5714285714284
Dworek Oporowo,Oporowo,Krzemieniewo,leszczyński,wielkopolskie,,,2022-01-08 14:19:13.558 +0100,REAL_ESTATE_AGENCY,,,WELL,,,,,10,,true,,1805,51.8158946,16.8518827,1200000.0,PLN,1200.0
Dworek Łódź,Łódź,Łódź,Łódź,łódzkie,,,2022-01-12 08:59:27.960 +0100,REAL_ESTATE_AGENCY,,,,,,,,25,,,,1980,,,950000.0,PLN,950.0
"Dom na sprzedaż: lubański, Świeradów-Zdrój",Świeradów-Zdrój,Świeradów-Zdrój,lubański,dolnośląskie,,,2022-01-12 08:07:13.253 +0100,PRIVATE,,,,,,,,18,,,,,50.9087,15.3431,1400000.0,PLN,700.0
"lubański, Świeradów-Zdrój",Świeradów-Zdrój,Świeradów-Zdrój,lubański,dolnośląskie,,,2022-01-11 22:26:09.014 +0100,,,,,,,,,18,,,,,50.9087,15.3431,1500000.0,PLN,750.0
Dom na sprzedaż,Olszanka,Krzczonów,lubelski,lubelskie,,,2022-01-13 01:13:23.300 +0100,REAL_ESTATE_AGENCY,,,,OTHER,,NONE,,12,,,,1810,,,2100000.0,PLN,2100.0
"kujawsko-pomorskie, mogileński, Strzelno, Strzelno",Strzelno,Strzelno,mogileński,kujawsko-pomorskie,,,2022-01-13 10:46:35.403 +0100,PRIVATE,,,WATER_SUPPLY,,,,,6,,,,2000,52.629994,18.176053,909000.0,PLN,3246.428571428572
"kujawsko-pomorskie, mogileński, Strzelno, Strzelno",Strzelno,Strzelno,mogileński,kujawsko-pomorskie,,,2022-01-13 10:25:47.329 +0100,,OTHER_HEATING,,WATER_SUPPLY,,,OTHER,,6,,,,2000,52.629994,18.176053,909000.0,PLN,
Dworek Jabłonka,Jabłonka,Nidzica,nidzicki,warmińsko-mazurskie,,,2022-01-11 14:10:21.421 +0100,REAL_ESTATE_AGENCY,,,,,,,,7,,true,,2005,53.49421,20.55524,1499000.0,PLN,3722.3739756642663
Dworek Opalenica,Opalenica,Opalenica,nowotomyski,wielkopolskie,,,2022-01-13 04:10:39.080 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,16,,,,1888,,,890000.0,PLN,1780.0
Dworek Ludomy,Ludomy,Ryczywół,obornicki,wielkopolskie,,,2022-01-11 13:53:40.305 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,6,,,,1830,52.74805,16.82556,995000.0,PLN,2487.5
Dworek Studzieniec,Studzieniec,Rogoźno,obornicki,wielkopolskie,,,2022-01-11 13:58:21.557 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,,,true,,1850,52.6987381,17.0276482,1800000.0,PLN,3345.724907063197
Dworek Spręcowo,Spręcowo,Dywity,olsztyński,warmińsko-mazurskie,,,2022-01-12 09:33:10.541 +0100,REAL_ESTATE_AGENCY,,GAS_HEATING,WATER_SUPPLY,,,,,9,,true,,1917,53.87349,20.43204,5000000.0,PLN,7142.857142857143
"Opolski, Chodel, Ratoszyn Drugi",Ratoszyn Drugi,Chodel,opolski,lubelskie,,,2022-01-11 14:16:35.614 +0100,REAL_ESTATE_AGENCY,,,,,,,,,,true,,,51.07366,22.17546,1450000.0,PLN,2071.428571428572
Dworek Książnik,Książnik,Miłakowo,ostródzki,warmińsko-mazurskie,,,2022-01-10 07:28:21.291 +0100,REAL_ESTATE_AGENCY,,,,,,,,10,,,,1770,53.9671,20.0743,3100000.0,PLN,3263.157894736842
